case_id,symptom,topology_note,show_output,expected_fault,osi_layer,concept_tag,severity
CASE-001,"All PCs and Server0 cannot reach their default gateways.","R1 G0/0/0 connects to Switch0 G0/1 as the only router-on-a-stick trunk; PC0 and PC2 are VLAN 10, PC1 and Server0 are VLAN 20.","R1# show ip interface brief | GigabitEthernet0/0/0 unassigned YES unset administratively down down","R1 parent trunk interface GigabitEthernet0/0/0 is administratively shut down.","Layer 1","interface-shutdown","High"
CASE-002,"PC0 and PC2 cannot reach the VLAN 10 default gateway, while the cable is connected.","PC0 and PC2 use VLAN 10 access ports on Switch0; R1 G0/0/0.10 is the VLAN 10 gateway.","Switch0# show interfaces fa0/1 status | Fa0/1 connected 1; Switch0# show vlan brief | Fa0/1 listed under VLAN 20 instead of VLAN 10","PC0 access port is assigned to the wrong VLAN.","Layer 2","access-port-vlan","High"
CASE-003,"Switch0 management interface cannot ping 192.168.99.1 and CDP reports a native VLAN mismatch.","R1 G0/0/0.99 uses encapsulation dot1Q 99 native; Switch0 G0/1 is the trunk and VLAN 99 is management.","Switch0# show interfaces trunk | Gi0/1 native vlan 1; R1# show running-config interface g0/0/0.99 | encapsulation dot1Q 99 native","Native VLAN values differ: Switch0 uses VLAN 1 but R1 uses VLAN 99.","Layer 2","trunk-native-vlan","Medium"
CASE-004,"PC1 and Server0 cannot reach 192.168.20.1, but PC0 can still reach 192.168.10.1.","PC1 and Server0 are in VLAN 20; R1 G0/0/0.20 should provide gateway 192.168.20.1/24.","R1# show ip interface brief | GigabitEthernet0/0/0.20 192.168.200.1 YES manual up up","VLAN 20 router subinterface has the wrong IP address; 192.168.200.1 is configured instead of 192.168.20.1.","Layer 3","subinterface-ip","High"
CASE-005,"PC1 and Server0 cannot communicate through the router although their VLAN 20 access ports are correct.","PC1 and Server0 use VLAN 20 access ports on Switch0; R1 G0/0/0.20 is their router-on-a-stick gateway.","R1# show running-config interface g0/0/0.20 | interface GigabitEthernet0/0/0.20; no encapsulation dot1Q 20 line present","Router subinterface for VLAN 20 is missing encapsulation dot1Q 20.","Layer 2","router-on-a-stick","Medium"
CASE-006,"A VLAN 10 PC has a valid IP address but cannot reach its default gateway.","PC0 is on VLAN 10 and R1 G0/0/0.10 is correctly configured as 192.168.10.1/24.","PC0> ipconfig | IP Address 192.168.10.15; Default Gateway 192.168.10.254; R1# show ip interface brief | G0/0/0.10 192.168.10.1 up up","End device default gateway is configured as 192.168.10.254 instead of 192.168.10.1.","Layer 3","gateway-mismatch","High"
CASE-007,"PC0 intermittently loses connectivity and other hosts report an address conflict.","PC0 and PC2 are both VLAN 10 endpoints using static IPv4 configuration.","PC0> ipconfig | IP Address 192.168.10.15; PC2> ipconfig | IP Address 192.168.10.15; Switch0# show mac address-table dynamic vlan 10 | different MAC addresses observed","PC0 and PC2 have duplicate static IPv4 addresses.","Layer 3","duplicate-ip","Medium"
CASE-008,"PC2 cannot communicate even with other VLAN 10 PCs; its switch port is disabled.","PC2 connects to Switch0 Fa0/2 as a VLAN 10 access port; port security was enabled for the demonstration.","Switch0# show port-security interface fa0/2 | Security Violation Count 1; Port Status Secure-shutdown; Switch0# show interfaces fa0/2 status | err-disabled","A port-security violation placed PC2's access port in err-disabled state.","Layer 2","port-security","Medium"
CASE-009,"PC0 can ping its gateway but cannot ping PC1 or Server0; PC1 can still initiate traffic to PC0.","PC0 and PC2 are VLAN 10; PC1 and Server0 are VLAN 20; ACL is applied inbound on R1 G0/0/0.10.","R1# show access-lists 110 | deny ip 192.168.10.0 0.0.0.255 192.168.20.0 0.0.0.255; R1# show running-config interface g0/0/0.10 | ip access-group 110 in","Inbound ACL 110 deliberately blocks traffic from VLAN 10 to VLAN 20.","Layer 3-4","acl-block","High"
CASE-010,"PC1 receives an address but cannot communicate correctly with VLAN 20 hosts after DHCP configuration.","PC1 belongs to VLAN 20; R1 G0/0/0.20 is the gateway at 192.168.20.1/24; DHCP service is provided by Server0 or R1.","DHCP lease for PC1 | IP Address 192.168.20.25; Subnet Mask 255.255.255.128; expected subnet mask 255.255.255.0","DHCP pool or PC1 configuration supplies the wrong /25 subnet mask instead of /24.","Layer 3","subnet-mask","Medium"
CASE-011,"Server0 is reachable by IP address from PC0 but cannot be reached by hostname.","Server0 provides DNS service on VLAN 20; PC0 is a VLAN 10 client and inter-VLAN routing is verified with successful IP ping.","PC0> ipconfig /all | DNS Server blank; PC0> ping 192.168.20.10 succeeds; PC0> ping server0.lab fails","PC0 has no DNS server configured, despite working Layer 3 connectivity.","Layer 7","dns-client","Low"
CASE-012,"The trunk link has frequent errors and VLAN 10 and VLAN 20 traffic becomes unstable.","R1 G0/0/0 connects to Switch0 G0/1 by one Ethernet trunk cable.","Switch0# show interfaces g0/1 | input errors and CRC errors increasing; log shows line protocol up/down repeatedly","Physical trunk cable or interface has a Layer 1 fault causing errors and link flapping.","Layer 1","physical-link","High"
CASE-013,"VLAN 10 hosts can communicate with each other but cannot reach their router gateway or VLAN 20 hosts.","PC0 and PC2 are VLAN 10 access ports; R1 G0/0/0.10 is the VLAN 10 gateway; Switch0 G0/1 is the only trunk.","Switch0# show interfaces trunk | Gi0/1 allowed VLANs 20,99; VLAN 10 absent from the allowed VLAN list","VLAN 10 is excluded from the switch trunk allowed-VLAN list.","Layer 2","trunk-allowed-vlan","High"
